,equity
2023-09-13 23:00:00+00:00,1000.0
2023-12-12 13:00:00+00:00,990.1042533653778
2024-02-22 08:00:00+00:00,1008.228479085093
2024-10-04 12:00:00+00:00,1028.7665302081289
2024-10-17 03:00:00+00:00,1046.4500402524645
2024-12-20 17:00:00+00:00,1033.806602983313
2025-03-18 08:00:00+00:00,1052.4704645108438
2025-03-26 21:00:00+00:00,1072.3345521898955
2025-07-30 12:00:00+00:00,1092.3459018370993
2025-08-20 12:00:00+00:00,1081.0217831439186
2025-11-03 10:00:00+00:00,1102.5138522450295
2025-12-01 12:00:00+00:00,1125.7722322439138
2025-12-29 17:00:00+00:00,1112.9491664587824
2026-01-19 00:00:00+00:00,1100.9765134341148
2026-02-19 13:00:00+00:00,1121.5638536398571
2026-03-09 19:00:00+00:00,1106.3849895338676
2026-04-07 08:00:00+00:00,1095.0246139231474
2026-05-12 07:00:00+00:00,1084.332882309134
