entry,exit,dir,entry_px,exit_px,sl,tp,pnl_pips,r,reason
2025-01-07 11:00:00,2025-01-07 12:00:00,SHORT,1.0427,1.03945,1.03937,1.04048,32.5,2.93,trail
2025-01-09 14:00:00,2025-01-10 05:00:00,SHORT,1.0307,1.02908,1.029,1.02892,16.2,1.82,trail
2025-01-15 14:00:00,2025-01-15 15:00:00,SHORT,1.03436,1.03066,1.03058,1.03204,37.0,3.19,trail
2025-01-16 13:00:00,2025-01-16 15:00:00,LONG,1.02726,1.02991,1.02999,1.02915,26.5,2.8,trail
2025-01-24 16:00:00,2025-01-24 20:00:00,SHORT,1.05154,1.04964,1.04956,1.0478,19.0,1.53,trail
2025-01-30 14:00:00,2025-01-30 15:00:00,SHORT,1.04552,1.04344,1.04336,1.04214,20.8,1.85,trail
2025-01-31 18:00:00,2025-01-31 19:00:00,SHORT,1.0419,1.03732,1.03724,1.03786,45.8,3.4,trail
2025-02-05 16:00:00,2025-02-05 21:00:00,SHORT,1.04212,1.04048,1.0404,1.03845,16.4,1.34,trail
2025-02-07 09:00:00,2025-02-07 10:00:00,SHORT,1.03969,1.03842,1.03834,1.03744,12.7,1.7,trail
2025-02-12 18:00:00,2025-02-12 19:00:00,SHORT,1.04252,1.03935,1.03927,1.03836,31.7,2.28,trail
2025-02-13 10:00:00,2025-02-13 11:00:00,SHORT,1.04221,1.03998,1.0399,1.03892,22.3,2.03,trail
2025-02-20 21:00:00,2025-02-21 08:00:00,SHORT,1.05018,1.04737,1.05114,1.04729,28.1,2.92,tp
2025-02-25 16:00:00,2025-02-25 18:00:00,SHORT,1.04975,1.05074,1.05066,1.04748,-9.9,-1.09,sl
2025-02-25 20:00:00,2025-02-25 23:00:00,SHORT,1.05095,1.05194,1.05186,1.04866,-9.9,-1.09,sl
2025-03-06 08:00:00,2025-03-06 13:00:00,SHORT,1.07981,1.0814,1.08132,1.0768,-15.9,-1.05,sl
2025-03-06 15:00:00,2025-03-06 17:00:00,SHORT,1.08361,1.08023,1.08015,1.08022,33.8,1.99,trail
2025-03-14 11:00:00,2025-03-14 12:00:00,SHORT,1.08939,1.09071,1.09063,1.08691,-13.2,-1.06,sl
2025-03-18 09:00:00,2025-03-18 11:00:00,SHORT,1.09507,1.09269,1.09589,1.09261,23.8,2.9,tp
2025-03-18 21:00:00,2025-03-19 07:00:00,SHORT,1.09426,1.09129,1.09528,1.09121,29.7,2.92,tp
2025-04-02 14:00:00,2025-04-02 15:00:00,SHORT,1.08256,1.08354,1.08346,1.07985,-9.8,-1.09,sl
2025-04-02 19:00:00,2025-04-02 20:00:00,SHORT,1.0853,1.08644,1.08636,1.08211,-11.4,-1.08,sl
2025-04-07 16:00:00,2025-04-08 02:00:00,LONG,1.0912,1.09611,1.09619,1.10033,49.1,1.61,trail
2025-04-09 19:00:00,2025-04-09 20:00:00,LONG,1.09645,1.09332,1.0934,1.1056,-31.3,-1.03,sl
2025-04-18 17:00:00,2025-04-20 21:00:00,SHORT,1.13932,1.14027,1.14019,1.13714,-9.5,-1.09,sl
2025-04-25 16:00:00,2025-04-27 22:00:00,SHORT,1.13791,1.13497,1.13489,1.13338,29.4,1.95,trail
2025-05-02 15:00:00,2025-05-02 16:00:00,SHORT,1.13675,1.13279,1.13271,1.1317,39.6,2.35,trail
2025-05-06 18:00:00,2025-05-06 19:00:00,SHORT,1.13634,1.13783,1.13775,1.13212,-14.9,-1.06,sl
2025-05-07 19:00:00,2025-05-07 20:00:00,LONG,1.13346,1.13199,1.13207,1.13762,-14.7,-1.06,sl
2025-05-14 11:00:00,2025-05-14 14:00:00,SHORT,1.12298,1.12114,1.12106,1.11893,18.4,1.36,trail
2025-05-15 18:00:00,2025-05-16 00:00:00,LONG,1.11717,1.11986,1.11994,1.12149,26.9,1.86,trail
2025-05-21 18:00:00,2025-05-21 19:00:00,SHORT,1.13472,1.13267,1.13259,1.13147,20.5,1.58,trail
2025-05-25 21:00:00,2025-05-25 22:00:00,SHORT,1.13609,1.13762,1.13754,1.13247,-15.3,-1.06,sl
2025-05-29 15:00:00,2025-05-29 16:00:00,SHORT,1.13491,1.13658,1.1365,1.13013,-16.7,-1.05,sl
2025-06-05 14:00:00,2025-06-05 15:00:00,SHORT,1.14799,1.14403,1.14934,1.14395,39.6,2.94,tp
2025-06-06 08:00:00,2025-06-06 09:00:00,LONG,1.14274,1.14169,1.14177,1.14566,-10.5,-1.08,sl
2025-06-12 10:00:00,2025-06-12 11:00:00,SHORT,1.15711,1.1585,1.15842,1.15318,-13.9,-1.06,sl
2025-06-20 18:00:00,2025-06-22 21:00:00,SHORT,1.15312,1.14613,1.14605,1.15005,69.9,6.84,trail
2025-06-24 15:00:00,2025-06-24 17:00:00,SHORT,1.16157,1.16315,1.16307,1.15707,-15.8,-1.05,sl
